,fields
11172,mmidx2_06
20939,mmidx2_07
8446,mmidx2_08
12614,mmidx2_09
10668,mmidx2_10
9320,mmidx2_11
4458,mmidx2_12
21708,mmidx2_13
9850,mmidx2_14
5785,mmidx2_15
6197,mmidx2_16
11979,mmidx2_17
16655,mmidx2_18
15321,mmidx2_19
6430,mmidx2_20
9575,mmr
19625,mmr1
807,mmr1d
5479,mmr1m
15087,mmr1y
5567,mmr2
6638,mmr2d
5862,mmr2m
2955,mmr2y
1491,mmrd
568,mmrm
4181,mmrx
21232,mmry
17065,monp0
21198,mpe1
18091,mpe2
16117,mpe3
21651,mr606d
1855,mr606m
10420,mr606y
21698,mr610d
2623,mr610m
6157,mr610y
21111,ms606d
17037,ms606m
21652,ms606y
18844,ms610d
3285,ms610m
5148,ms610y
7576,msl1
10352,msl1d
2590,msl1m
1425,msl1y
21497,msl2
8803,msl2d
753,msl2m
1249,msl2y
8750,msrt
6838,mv034_1
19459,mv034_2
17168,mv034_3
11550,mv034_4
8858,mv034_5
5959,mv034_6
8648,mv034_7
12333,mv034_8
8292,mv034a_1
9035,mv034a_2
16675,mv034a_3
16364,mv034a_4
5968,mv034a_5
18208,mv034a_6
2043,mv034a_7
180,mv034a_8
12321,mv034b_1
7769,mv034b_2
16885,mv034b_3
74,mv034b_4
20715,mv034b_5
9859,mv034b_6
19230,mv034b_7
18338,mv034b_8
1050,mv035
10926,mvita
9810,nrec97
13794,nrec98
18294,nrec99
10990,nswn005
6346,nv005
11331,nwfactcs
3746,nwfacte
4734,nwfacte4
10163,nwfacte6
12789,nwfactme
3963,nwfactrl
17512,nwfactsl
7852,nwfactsm
5837,nwfactt
16864,nwfactu
8976,occ97
10366,ord92
11155,ord97
17561,ot606d
13047,ot606m
145,ot606y
7357,ot610d
14381,ot610m
2304,ot610y
11408,p0606d
11206,p0606m
16243,p0606y
18442,p0610d
7307,p0610m
16760,p0610y
20452,p1606d
8017,p1606m
16803,p1606y
8638,p1610d
12818,p1610m
13863,p1610y
17366,p215
14333,p216
595,p217
9175,p219
19034,p220c
372,p220f
13529,p220m
7292,p220y
13365,p221
18571,p222
7765,p223
20305,p224
624,p224c
19439,p224f
10525,p225m
18150,p225y
2215,p226
9707,p227
3576,p228
11396,p2606d
16409,p2606m
8768,p2606y
12549,p2610d
7912,p2610m
604,p2610y
17321,p3606d
16837,p3606m
13307,p3606y
12936,p3610d
11203,p3610m
411,p3610y
10410,p4
13710,p403
5802,p405
12816,p406
2532,p407a
5261,p407aa
2225,p407b
15722,p407c
14441,p407d
20074,p407e
20425,p407x
15874,p407y
20085,p408
12266,p408a
17204,p408ba
13947,p408bb
6374,p408bc
5317,p408bd
16254,p408be
5645,p409
16411,p410
3525,p411
17957,p412a
19973,p412b
21025,p4606d
17638,p4606m
15221,p4606y
17791,p4610d
7209,p4610m
10471,p4610y
8010,p4d
2055,p4m
16284,p4y
20785,pa606d
4494,pa606m
14851,pa606y
17340,pa610d
19959,pa610m
5328,pa610y
1717,pb
16765,pbd
8692,pbm
12010,pby
1453,pc1
15397,pc1d
10104,pc1m
3014,pc1y
10014,pc2
17724,pc2d
14219,pc2m
16075,pc2y
6275,pc3
13113,pc3d
11231,pc3m
21254,pc3y
8708,pen1
4085,pen1d
13611,pen1m
12002,pen1y
14225,pen2
19297,pen2d
16496,pen2m
10110,pen2y
9666,pen3
3570,pen3d
17847,pen3m
20763,pen3y
13753,pn1
9697,pn1d
5726,pn1m
1947,pn1y
7848,pn2
6657,pn2d
18936,pn2m
357,pn2y
21001,pn3
20552,pn3d
12000,pn3m
20536,pn3y
2807,pol4
18413,pol4d
20198,pol4m
20653,pol4y
3395,pt1
7187,pt1d
20087,pt1m
17541,pt1y
2117,pt2
7376,pt2d
17161,pt2m
13105,pt2y
7227,pt3
18148,pt3d
16503,pt3m
20799,pt3y
6655,pv1
11996,pv1d
9296,pv1m
9259,pv1y
15273,pv2
15360,pv2d
5304,pv2m
4874,pv2y
415,pv3
12443,pv3d
11959,pv3m
11530,pv3y
15625,qwfacte
15954,qwfactr
15736,qwfactt
5690,qwfactu
13613,r1
6035,r1d
1058,r1m
928,r1y
6904,r2
16690,r2d
2648,r2m
5363,r2y
6686,rc103
10788,rc105
5559,rc109
20328,rc110
17909,rc117
1316,rc118a
5822,rc118b
1069,rc118c
2842,rc118d
1486,rc118e
14211,rc118f
4246,rc118g
17503,rc118h
15471,rc118i
301,rc118j
8223,rc118k
8665,rc123
14213,rc124
8694,rc125a
16418,rc125e
5291,rc126d
8952,rc130
954,rc131
19440,rc223
6268,rc224
11349,rc320
8537,rc321a
10431,rc321b
16934,rc321c
21772,rc321d
7140,rc321e
3713,rc321f
8821,rc321g
7922,rc321h
7436,rc402
8520,rc403
19224,rc405
8868,rc416c
9398,rc416d
1895,rc416e
8485,rc416g
10355,rc427b
15632,rc427c
7734,rc427d
1323,rc427e
530,rc427f
20781,rc427g
5755,rc427h
